client_id;prenom;nom;genre;age;email;telephone;ville;pays;date_inscription;segment_client
C0052;Kerfala;Diallo;M;27;kerfala.diallo29@hotmail.com;+224 646 87 96 31;Conakry;Guinée;2023-12-04;Nouveau
C0053;Aboubacar;Traoré;M;51;aboubacar.traoré76@orange.gn;+224 637 23 13 44;Paris;France;2024-11-28;Nouveau
C0054;Amadou;Kanté;M;50;amadou.kanté61@outlook.com;+224 663 54 50 87;Paris;France;2023-08-25;Standard
C0055;Nènè;Sow;F;20;nene.sow63@yahoo.fr;+224 622 71 56 42;Kankan;Guinée;2024-10-21;Nouveau
C0056;Fanta;Baldé;F;50;fanta.baldé52@outlook.com;+224 647 84 16 62;Kankan;Guinée;2025-01-19;Nouveau
C0057;Léa;Fofana;F;50;lea.fofana77@outlook.com;+224 682 50 94 53;Conakry;Guinée;2024-06-18;Standard
C0058;Kerfala;Condé;M;51;kerfala.condé50@gmail.com;+224 697 37 13 69;Kankan;Guinée;2024-06-17;Standard
C0059;Coumba;Doumbouya;F;50;coumba.doumbouya35@hotmail.com;+224 637 81 96 51;Conakry;Guinée;2023-08-05;Standard
C0060;Djénabou;Fofana;F;52;djenabou.fofana20@orange.gn;+224 690 29 28 26;Paris;France;2023-07-13;Nouveau
C0061;Julien;Barry;M;37;julien.barry18@outlook.com;+224 689 98 55 26;Kankan;Guinée;2023-07-03;Standard
C0062;Paul;Barry;M;61;paul.barry53@orange.gn;+224 682 79 13 48;Conakry;Guinée;2023-06-07;Standard
C0063;Nènè;Kanté;F;47;nene.kanté96@hotmail.com;+224 639 51 28 75;Conakry;Guinée;2024-11-27;Premium
C0064;Ibrahima;Camara;M;55;ibrahima.camara90@outlook.com;+224 662 13 30 74;Labé;Guinée;2024-12-22;Standard
C0065;Cheick;Traoré;M;28;cheick.traoré29@hotmail.com;+224 647 57 30 78;Kindia;Guinée;2023-09-04;Nouveau
C0066;Yarie;Traoré;F;41;yarie.traoré27@outlook.com;+224 676 81 87 71;Mamou;Guinée;2024-12-22;Premium
C0067;François;Soumah;M;23;françois.soumah92@orange.gn;+224 640 24 32 36;Conakry;Guinée;2023-12-29;Standard
C0068;Tidiane;Traoré;M;53;tidiane.traoré83@outlook.com;+224 656 56 60 11;Conakry;Guinée;2023-05-29;Standard
C0069;Nènè;Bangoura;F;49;nene.bangoura14@yahoo.fr;+224 691 38 55 68;Labé;Guinée;2023-05-22;Standard
C0070;Lamine;Kanté;M;34;lamine.kanté11@hotmail.com;+224 679 54 79 77;Labé;Guinée;2024-11-29;Nouveau
C0071;Omar;Bangoura;M;20;omar.bangoura76@gmail.com;+224 628 77 67 82;Kankan;Guinée;2023-03-24;Premium
C0072;Saran;Kouyaté;F;19;saran.kouyaté41@yahoo.fr;+224 623 23 60 21;Boké;Guinée;2023-06-06;Standard
C0073;Fatoumata;Barry;F;22;fatoumata.barry78@orange.gn;+224 635 52 29 49;Paris;France;2025-02-09;Nouveau
C0074;Mohamed;Cissé;M;33;mohamed.cissé31@orange.gn;+224 660 63 15 72;Paris;France;2024-02-14;Standard
C0075;Fodé;Soumah;M;55;fode.soumah76@hotmail.com;+224 681 77 12 73;Conakry;Guinée;2024-05-02;Nouveau
C0076;Yarie;Barry;F;47;yarie.barry38@yahoo.fr;+224 686 50 44 65;Boké;Guinée;2023-05-24;Nouveau
C0077;Aliou;Fofana;M;28;aliou.fofana16@orange.gn;+224 667 37 85 19;Boké;Guinée;2024-06-27;Standard
C0078;Claire;Camara;F;44;claire.camara1@yahoo.fr;+224 645 16 43 31;Conakry;Guinée;2024-02-15;Standard
C0079;Aissatou;Bangoura;F;20;aissatou.bangoura91@orange.gn;+224 634 67 80 95;Conakry;Guinée;2023-08-12;Premium
C0080;Aurélie;Doumbouya;F;20;aurelie.doumbouya84@hotmail.com;+224 626 47 21 31;Abidjan;Côte d'Ivoire;2023-07-14;Standard
C0081;Fanta;Diallo;F;57;fanta.diallo6@hotmail.com;+224 653 19 99 79;Kankan;Guinée;2024-10-23;Standard
C0082;Lansana;Barry;M;40;lansana.barry69@hotmail.com;+224 679 21 41 14;Boké;Guinée;2023-08-22;Premium
C0083;Djénabou;Bah;F;61;djenabou.bah23@yahoo.fr;+224 650 31 81 35;Mamou;Guinée;2024-09-29;Standard
C0084;Claire;Bangoura;F;59;claire.bangoura60@gmail.com;+224 622 54 19 26;Abidjan;Côte d'Ivoire;2023-06-22;Nouveau
C0085;Omar;Kouyaté;M;27;omar.kouyaté42@yahoo.fr;+224 683 80 24 27;Paris;France;2024-12-04;Premium
C0086;Aissatou;Kouyaté;F;44;aissatou.kouyaté73@outlook.com;+224 685 55 20 97;Abidjan;Côte d'Ivoire;2024-11-17;Standard
C0087;Binta;Camara;F;33;binta.camara77@orange.gn;+224 692 32 49 78;Nzérékoré;Guinée;2023-11-08;Premium
C0088;Mohamed;Condé;M;47;mohamed.condé13@yahoo.fr;+224 680 30 87 74;Paris;France;2024-08-27;Nouveau
C0089;Kadiatou;Bah;F;18;kadiatou.bah68@outlook.com;+224 638 62 42 12;Conakry;Guinée;2024-09-19;Standard
C0090;Aminata;Diakité;F;58;aminata.diakité57@orange.gn;+224 635 22 39 51;Abidjan;Côte d'Ivoire;2023-01-06;Standard
C0091;Youssouf;Diakité;M;46;youssouf.diakité57@outlook.com;+224 652 67 89 62;Kankan;Guinée;2025-02-26;Standard
C0092;Aurélie;Condé;F;57;aurelie.condé4@yahoo.fr;+224 647 99 47 61;Conakry;Guinée;2024-07-15;Standard
C0093;Hadja;Camara;F;42;hadja.camara77@outlook.com;+224 688 60 36 88;Kindia;Guinée;2023-05-12;Standard
C0094;Mabinty;Bangoura;F;46;mabinty.bangoura23@orange.gn;+224 658 14 89 35;Labé;Guinée;2023-09-06;Standard
C0095;Ramatoulaye;Savané;F;46;ramatoulaye.savané82@hotmail.com;+224 627 88 49 14;Conakry;Guinée;2024-01-20;Nouveau
C0096;Djénabou;Keita;F;32;djenabou.keita81@orange.gn;+224 685 46 95 88;Nzérékoré;Guinée;2024-12-08;Standard
C0097;Tiguidanké;Diakité;F;32;tiguidanke.diakité54@orange.gn;+224 674 59 89 56;Boké;Guinée;2023-01-14;Nouveau
C0098;Kerfala;Savané;M;40;kerfala.savané4@gmail.com;+224 650 37 32 72;Nzérékoré;Guinée;2025-01-30;Standard
C0099;Aurélie;Condé;F;50;aurelie.condé48@gmail.com;+224 689 20 22 24;Nzérékoré;Guinée;2023-07-14;Standard
C0100;Fodé;Fofana;M;58;fode.fofana81@gmail.com;+224 673 40 51 49;Labé;Guinée;2024-06-12;Nouveau
C0101;Tidiane;Bah;M;60;tidiane.bah59@hotmail.com;+224 632 92 23 34;Labé;Guinée;2023-06-04;Nouveau
C0102;Marie;Fofana;F;25;marie.fofana45@yahoo.fr;+224 639 66 69 22;Conakry;Guinée;2023-03-30;Nouveau
C0103;Tiguidanké;Sylla;F;19;tiguidanke.sylla60@hotmail.com;+224 628 66 73 17;Conakry;Guinée;2024-12-03;Standard
C0104;Yarie;Camara;F;44;yarie.camara55@gmail.com;+224 652 79 77 41;Conakry;Guinée;2023-07-05;Standard
C0105;Hadja;Diallo;F;56;hadja.diallo40@outlook.com;+224 675 23 98 38;Conakry;Guinée;2024-09-12;Standard
C0106;Cheick;Bah;M;57;cheick.bah41@hotmail.com;+224 698 84 49 39;Dakar;Sénégal;2023-09-28;Nouveau
C0107;Naby;Traoré;M;20;naby.traoré79@outlook.com;+224 687 68 47 62;Kankan;Guinée;2024-07-22;Nouveau
C0108;Fanta;Savané;F;28;fanta.savané67@outlook.com;+224 653 49 24 87;Mamou;Guinée;2024-01-02;Standard
C0109;Sidy;Fofana;M;62;sidy.fofana94@gmail.com;+224 663 61 92 64;Labé;Guinée;2023-11-22;Standard
C0110;Ramatoulaye;Camara;F;45;ramatoulaye.camara88@hotmail.com;+224 694 51 82 58;Labé;Guinée;2025-02-12;Standard
C0111;Claire;Baldé;F;48;claire.baldé47@hotmail.com;+224 679 15 87 12;Kankan;Guinée;2023-01-11;Nouveau
C0112;Djénabou;Kanté;F;25;djenabou.kanté43@hotmail.com;+224 653 59 48 42;Conakry;Guinée;2025-02-27;Premium
C0113;Ibrahima;Bah;M;29;ibrahima.bah91@outlook.com;+224 699 79 68 23;Kindia;Guinée;2023-02-20;Standard
C0114;Thierno;Sylla;M;44;thierno.sylla15@gmail.com;+224 633 19 85 59;Conakry;Guinée;2023-08-23;Premium
C0115;Aurélie;Kanté;F;19;aurelie.kanté99@outlook.com;+224 672 57 81 96;Paris;France;2025-02-13;Nouveau
C0116;Fanta;Barry;F;37;fanta.barry35@orange.gn;+224 641 87 60 16;Nzérékoré;Guinée;2023-06-03;Premium
C0117;Aurélie;Kouyaté;F;58;aurelie.kouyaté19@gmail.com;+224 656 22 26 65;Mamou;Guinée;2024-10-13;Standard
C0118;Coumba;Fofana;F;31;coumba.fofana21@outlook.com;+224 623 23 34 69;Conakry;Guinée;2023-11-26;Standard
C0119;Claire;Bah;F;41;claire.bah86@gmail.com;+224 655 80 38 34;Conakry;Guinée;2024-08-13;Standard
C0120;Thierno;Kanté;M;25;thierno.kanté10@yahoo.fr;+224 679 81 54 27;Boké;Guinée;2024-07-10;Standard
C0121;Kerfala;Bangoura;M;25;kerfala.bangoura33@orange.gn;+224 680 56 34 34;Abidjan;Côte d'Ivoire;2024-02-04;Nouveau
C0122;Léa;Bah;F;56;lea.bah80@outlook.com;+224 688 16 81 54;Abidjan;Côte d'Ivoire;2023-05-19;Nouveau
C0123;François;Bangoura;M;58;françois.bangoura40@yahoo.fr;+224 654 68 60 23;Mamou;Guinée;2023-02-04;Standard
C0124;Sékou;Traoré;M;48;sekou.traoré37@outlook.com;+224 636 99 16 18;Conakry;Guinée;2023-11-20;Standard
C0125;Aissatou;Soumah;F;30;aissatou.soumah2@gmail.com;+224 660 35 13 90;Abidjan;Côte d'Ivoire;2024-07-07;Nouveau
C0126;Sékou;Kouyaté;M;44;sekou.kouyaté43@orange.gn;+224 698 38 15 55;Boké;Guinée;2024-11-30;Nouveau
C0127;Catherine;Kouyaté;F;45;catherine.kouyaté81@outlook.com;+224 666 35 79 42;Paris;France;2023-03-05;Standard
C0128;Élise;Diakité;F;23;elise.diakité83@gmail.com;+224 675 69 97 16;Boké;Guinée;2024-10-13;Standard
C0129;Lansana;Sylla;M;48;lansana.sylla16@outlook.com;+224 635 43 25 41;Abidjan;Côte d'Ivoire;2024-02-18;Standard
C0130;Sékou;Soumah;M;61;sekou.soumah16@gmail.com;+224 687 70 54 32;Mamou;Guinée;2023-01-10;Standard
C0131;Omar;Soumah;M;56;omar.soumah23@outlook.com;+224 675 46 64 65;Paris;France;2023-11-05;Standard
C0132;Ousmane;Diakité;M;41;ousmane.diakité78@orange.gn;+224 696 83 72 43;Nzérékoré;Guinée;2023-08-09;Nouveau
C0133;François;Sow;M;23;françois.sow95@outlook.com;+224 643 20 68 32;Boké;Guinée;2023-07-19;Standard
C0134;Lamine;Keita;M;44;lamine.keita59@gmail.com;+224 655 47 98 21;Dakar;Sénégal;2024-04-22;Standard
C0135;Aurélie;Cissé;F;62;aurelie.cissé98@hotmail.com;+224 687 75 65 50;Labé;Guinée;2023-03-10;Standard
C0136;Paul;Bangoura;M;21;paul.bangoura17@yahoo.fr;+224 661 83 50 38;Conakry;Guinée;2024-06-18;Standard
C0137;Fatoumata;Keita;F;54;fatoumata.keita62@outlook.com;+224 678 76 19 80;Conakry;Guinée;2023-10-08;Premium
C0138;Claire;Diallo;F;43;claire.diallo80@outlook.com;+224 671 81 98 10;Conakry;Guinée;2023-04-06;Nouveau
C0139;Ousmane;Barry;M;20;ousmane.barry41@yahoo.fr;+224 622 12 72 16;Conakry;Guinée;2024-10-03;Nouveau
C0140;Fodé;Barry;M;56;fode.barry64@yahoo.fr;+224 648 14 57 67;Kindia;Guinée;2023-06-09;Premium
C0141;Thierno;Doumbouya;M;48;thierno.doumbouya89@orange.gn;+224 632 63 61 19;Boké;Guinée;2024-04-04;Nouveau
C0142;Claire;Touré;F;23;claire.touré1@yahoo.fr;+224 623 41 75 40;Labé;Guinée;2023-03-24;Nouveau
C0143;Youssouf;Keita;M;58;youssouf.keita1@gmail.com;+224 659 31 59 35;Conakry;Guinée;2023-07-31;Nouveau
C0144;Tidiane;Traoré;M;24;tidiane.traoré45@yahoo.fr;+224 695 41 15 20;Mamou;Guinée;2023-12-12;Nouveau
C0145;Cheick;Cissé;M;50;cheick.cissé12@yahoo.fr;+224 697 67 70 12;Conakry;Guinée;2024-12-22;Nouveau
C0146;Saran;Condé;F;57;saran.condé27@orange.gn;+224 685 18 34 35;Dakar;Sénégal;2023-06-23;Standard
C0147;Lansana;Camara;M;44;lansana.camara48@orange.gn;+224 635 27 84 86;Boké;Guinée;2023-05-06;Standard
C0148;Léa;Diallo;F;43;lea.diallo44@outlook.com;+224 653 79 50 17;Abidjan;Côte d'Ivoire;2024-04-27;Standard
C0149;Omar;Sow;M;43;omar.sow54@orange.gn;+224 638 50 84 69;Conakry;Guinée;2024-05-25;Standard
C0150;Moussa;Bangoura;M;47;moussa.bangoura88@yahoo.fr;+224 668 43 38 62;Conakry;Guinée;2024-12-01;Standard
C0151;Naby;Condé;M;19;naby.condé79@yahoo.fr;+224 621 77 27 49;Dakar;Sénégal;2024-11-05;Standard
C0152;Mamadou;Keita;M;43;mamadou.keita67@yahoo.fr;+224 679 98 13 97;Conakry;Guinée;2023-06-17;Nouveau
C0153;Mariama;Diakité;F;59;mariama.diakité70@orange.gn;+224 695 95 81 67;Conakry;Guinée;2023-05-03;Premium
C0154;Mohamed;Camara;M;52;mohamed.camara14@yahoo.fr;+224 649 90 28 53;Mamou;Guinée;2023-02-25;Nouveau
C0155;Hawa;Baldé;F;45;hawa.baldé25@hotmail.com;+224 687 27 69 60;Paris;France;2025-01-16;Standard
C0156;Abdoulaye;Savané;M;58;abdoulaye.savané23@gmail.com;+224 644 77 54 61;Nzérékoré;Guinée;2023-04-22;Premium
C0157;Mamadou;Condé;M;31;mamadou.condé52@orange.gn;+224 670 86 52 36;Conakry;Guinée;2024-07-10;Standard
C0158;Lansana;Keita;M;38;lansana.keita5@gmail.com;+224 645 56 25 16;Nzérékoré;Guinée;2023-11-25;Nouveau
C0159;Cheick;Soumah;M;49;cheick.soumah93@hotmail.com;+224 629 92 25 31;Paris;France;2023-03-14;Nouveau
C0160;Binta;Touré;F;41;binta.touré54@outlook.com;+224 690 56 14 86;Abidjan;Côte d'Ivoire;2023-03-16;Nouveau
C0161;Djénabou;Diallo;F;38;djenabou.diallo28@gmail.com;+224 669 19 15 34;Conakry;Guinée;2023-09-17;Nouveau
C0162;Moussa;Condé;M;18;moussa.condé14@outlook.com;+224 640 10 57 25;Labé;Guinée;2023-06-10;Premium
C0163;Sidy;Bangoura;M;50;sidy.bangoura37@gmail.com;+224 692 12 77 27;Conakry;Guinée;2023-08-05;Nouveau
C0164;Yarie;Bah;F;41;yarie.bah94@gmail.com;+224 636 33 32 37;Kindia;Guinée;2023-05-16;Nouveau
C0165;Fanta;Kouyaté;F;47;fanta.kouyaté51@gmail.com;+224 657 11 56 49;Boké;Guinée;2024-05-12;Nouveau
C0166;Aurélie;Diakité;F;62;aurelie.diakité37@yahoo.fr;+224 652 27 67 65;Boké;Guinée;2023-11-29;Standard
C0167;Jean;Condé;M;58;jean.condé40@outlook.com;+224 676 61 61 15;Dakar;Sénégal;2024-05-16;Standard
C0168;Aissatou;Touré;F;32;aissatou.touré93@gmail.com;+224 666 53 12 46;Dakar;Sénégal;2024-02-05;Standard
C0169;Camille;Diallo;F;44;camille.diallo44@hotmail.com;+224 653 99 38 39;Dakar;Sénégal;2023-02-19;Standard
C0170;Catherine;Fofana;F;42;catherine.fofana62@hotmail.com;+224 633 11 89 86;Conakry;Guinée;2024-07-10;Standard
C0171;Awa;Diakité;F;37;awa.diakité32@hotmail.com;+224 642 13 50 63;Dakar;Sénégal;2023-02-15;Standard
C0172;Omar;Traoré;M;61;omar.traoré62@outlook.com;+224 669 74 85 58;Nzérékoré;Guinée;2023-01-05;Standard
C0173;Yarie;Keita;F;21;yarie.keita72@orange.gn;+224 642 15 94 41;Boké;Guinée;2024-05-26;Standard
C0174;Julien;Condé;M;55;julien.condé69@hotmail.com;+224 672 83 52 41;Conakry;Guinée;2024-10-03;Nouveau
C0175;Aissatou;Camara;F;19;aissatou.camara73@orange.gn;+224 696 73 62 95;Conakry;Guinée;2025-03-08;Premium
C0176;David;Doumbouya;M;28;david.doumbouya64@gmail.com;+224 631 90 64 88;Conakry;Guinée;2023-01-13;Premium
C0177;Awa;Condé;F;51;awa.condé7@hotmail.com;+224 639 45 44 37;Mamou;Guinée;2023-05-27;Premium
C0178;Tiguidanké;Cissé;F;45;tiguidanke.cissé35@yahoo.fr;+224 641 90 36 24;Kankan;Guinée;2024-01-30;Standard
C0179;Nènè;Cissé;F;56;nene.cissé11@outlook.com;+224 631 99 57 37;Mamou;Guinée;2023-06-12;Nouveau
C0180;Awa;Cissé;F;56;awa.cissé51@hotmail.com;+224 637 92 54 32;Abidjan;Côte d'Ivoire;2024-11-04;Premium
C0181;Julien;Soumah;M;28;julien.soumah17@hotmail.com;+224 670 75 63 85;Kindia;Guinée;2023-03-16;Standard
C0182;Fodé;Bah;M;51;fode.bah99@gmail.com;+224 642 82 44 72;Kindia;Guinée;2023-07-13;Premium
C0183;Tidiane;Sylla;M;57;tidiane.sylla20@orange.gn;+224 643 17 72 47;Abidjan;Côte d'Ivoire;2024-01-18;Standard
C0184;Marie;Kouyaté;F;50;marie.kouyaté61@gmail.com;+224 682 99 61 37;Dakar;Sénégal;2023-07-13;Standard
C0185;Cheick;Barry;M;45;cheick.barry34@outlook.com;+224 620 19 19 47;Paris;France;2025-01-06;Standard
C0186;Nathalie;Barry;F;45;nathalie.barry82@orange.gn;+224 656 52 15 13;Dakar;Sénégal;2024-01-05;Standard
C0187;Mabinty;Doumbouya;F;25;mabinty.doumbouya70@gmail.com;+224 620 24 36 40;Labé;Guinée;2023-10-19;Premium
C0188;Nathalie;Barry;F;61;nathalie.barry71@yahoo.fr;+224 679 75 19 87;Kankan;Guinée;2023-01-30;Standard
C0189;Aissatou;Diallo;F;21;aissatou.diallo74@outlook.com;+224 656 43 49 58;Conakry;Guinée;2023-04-28;Premium
C0190;Aliou;Kouyaté;M;60;aliou.kouyaté80@yahoo.fr;+224 628 16 95 31;Labé;Guinée;2023-09-11;Standard
C0191;Youssouf;Fofana;M;59;youssouf.fofana71@orange.gn;+224 699 17 46 84;Conakry;Guinée;2023-03-09;Standard
C0192;Tidiane;Bah;M;29;tidiane.bah63@yahoo.fr;+224 647 92 58 92;Kankan;Guinée;2023-08-15;Standard
C0193;Hawa;Sow;F;44;hawa.sow42@outlook.com;+224 638 44 69 48;Conakry;Guinée;2024-06-21;Standard
C0194;Mohamed;Savané;M;56;mohamed.savané6@hotmail.com;+224 667 56 76 55;Kankan;Guinée;2024-05-28;Nouveau
C0195;David;Sow;M;52;david.sow42@hotmail.com;+224 629 76 63 37;Conakry;Guinée;2023-10-06;Standard
C0196;Claire;Bah;F;41;claire.bah47@gmail.com;+224 672 84 99 46;Kindia;Guinée;2024-05-21;Standard
C0197;Djeneba;Fofana;F;60;djeneba.fofana83@outlook.com;+224 646 41 19 69;Boké;Guinée;2023-05-04;Standard
C0198;Lamine;Bangoura;M;62;lamine.bangoura63@outlook.com;+224 678 67 66 59;Kindia;Guinée;2023-01-29;Standard
C0199;Djeneba;Savané;F;52;djeneba.savané40@outlook.com;+224 629 76 65 18;Conakry;Guinée;2023-01-12;Nouveau
C0200;Jean;Bangoura;M;45;jean.bangoura82@outlook.com;+224 674 39 23 44;Conakry;Guinée;2024-09-21;Standard
C0201;Oumou;Diakité;F;50;oumou.diakité94@hotmail.com;+224 664 58 66 78;Conakry;Guinée;2023-03-03;Premium
C0202;Aminata;Bangoura;F;42;aminata.bangoura38@gmail.com;+224 641 28 11 33;Paris;France;2024-02-14;Standard
C0203;Djénabou;Sow;F;60;djenabou.sow71@gmail.com;+224 640 96 57 90;Conakry;Guinée;2023-12-07;Standard
C0204;Djénabou;Bah;F;42;djenabou.bah66@hotmail.com;+224 685 42 83 83;Mamou;Guinée;2024-06-13;Standard
C0205;Tiguidanké;Camara;F;56;tiguidanke.camara70@outlook.com;+224 660 72 53 62;Mamou;Guinée;2024-04-14;Standard
C0206;Sophie;Keita;F;51;sophie.keita93@hotmail.com;+224 682 17 79 79;Abidjan;Côte d'Ivoire;2023-07-15;Nouveau
C0207;Fanta;Bah;F;29;fanta.bah39@orange.gn;+224 678 18 72 67;Nzérékoré;Guinée;2023-09-25;Standard
C0208;Cheick;Bangoura;M;30;cheick.bangoura2@gmail.com;+224 692 21 66 31;Conakry;Guinée;2023-05-23;Nouveau
